COD_CARTAO	IDADE_CLIENTE	RENDA_MENSAL_CLIENTE	BEHAVIOUR_SCORE_CLIENTE	QTD_TRANSACOES_3M	QTD_ITENS_3M	VALOR_GASTO_3M	TICKET_MEDIO_3M	FLAG_ELETRONICOS_3M	SATISFACAO_ULTIMA_COMPRA	VALOR_GASTO_PROX_12M
277264	34	11520	87	5	5	1470	294	0	03_Neutro	3236
274487	18	5850	50	1	2	96	96	0	03_Neutro	0
209438	36	14265	86	5	6	1730	346	0	Nao_Respondeu	4472
249257	48	5820	72	3	7	962	320.67	0	Nao_Respondeu	1555
128163	49	16500	89	4	7	1007	251.75	0	03_Neutro	2480
251689	44	11430	70	3	6	868	289.33	0	02_Satisfeito	1550
264216	35	5205	44	1	5	640	640	1	04_Insatisfeito	0
237451	43	7890	63	5	8	1737	347.4	0	02_Satisfeito	3923
333175	24	1500	86	3	2	1000	333.33	0	03_Neutro	1519
227380	42	3825	69	1	6	815	815	0	Nao_Respondeu	1082
346146	57	1500	92	5	8	1232	246.4	1	Nao_Respondeu	3280
311943	34	1500	68	1	1	630	630	0	Nao_Respondeu	0
272357	27	10440	82	2	4	432	216	0	02_Satisfeito	953
128032	42	19860	72	2	6	838	419	0	02_Satisfeito	757
344393	52	11865	67	1	5	1091	1091	0	04_Insatisfeito	605
257438	52	18750	93	6	7	2444	407.33	1	Nao_Respondeu	8111
293043	48	17670	65	2	6	971	485.5	0	03_Neutro	473
334880	37	6300	67	2	6	701	350.5	0	02_Satisfeito	1097
191897	56	13320	89	4	8	1181	295.25	0	03_Neutro	3157
258333	54	1500	93	9	8	2994	332.67	1	Nao_Respondeu	11124
290969	33	11700	64	3	5	589	196.33	0	02_Satisfeito	782
131549	39	10080	72	2	6	748	374	0	02_Satisfeito	978
251753	19	1500	90	4	3	802	200.5	1	03_Neutro	1251
292241	43	4725	83	4	6	855	213.75	0	02_Satisfeito	1826
216513	62	24000	73	1	9	1334	1334	0	02_Satisfeito	0
252011	65	1500	94	7	9	1409	201.29	1	Nao_Respondeu	6791
129538	20	1500	77	1	3	692	692	0	04_Insatisfeito	0
216756	32	1500	56	1	4	920	920	0	Nao_Respondeu	0
251126	31	12510	73	2	5	549	274.5	0	Nao_Respondeu	731
129178	39	7125	47	3	6	1790	596.67	0	Nao_Respondeu	1502
314971	55	2820	79	2	5	1165	582.5	0	02_Satisfeito	1550
346688	35	14580	76	3	5	651	217	0	04_Insatisfeito	1552
210315	31	1500	79	1	5	529	529	0	02_Satisfeito	232
311781	41	13215	81	2	5	792	396	0	02_Satisfeito	1430
180596	23	1500	94	4	4	993	248.25	1	03_Neutro	1132
130437	42	11925	76	2	6	824	412	0	Nao_Respondeu	1053
338614	24	1500	91	3	4	1100	366.67	1	Nao_Respondeu	1834
306690	54	1530	90	4	8	1146	286.5	1	Nao_Respondeu	2831
167343	19	1500	58	3	3	618	206	0	01_Muito_Satisfeito	103
210261	67	7080	98	7	9	1469	209.86	1	Nao_Respondeu	5908
322343	62	10875	68	2	5	1329	664.5	0	02_Satisfeito	1923
175661	37	15960	89	6	6	1657	276.17	1	03_Neutro	5009
295205	28	1500	88	4	5	1323	330.75	0	Nao_Respondeu	2180
232908	46	15345	70	3	7	935	311.67	0	02_Satisfeito	1775
204435	32	8970	71	3	5	577	192.33	0	01_Muito_Satisfeito	1264
217906	64	25095	92	6	8	1389	231.5	1	03_Neutro	6863
244024	56	17670	97	5	8	1174	234.8	1	03_Neutro	4050
319696	22	8910	89	4	4	950	237.5	0	Nao_Respondeu	1928
281023	32	6900	63	2	5	1062	531	0	02_Satisfeito	777
207864	34	1500	67	1	5	1090	1090	0	02_Satisfeito	856
190382	33	1500	57	1	4	581	581	1	02_Satisfeito	0
232264	25	1500	41	2	3	1074	537	0	01_Muito_Satisfeito	699
317375	50	1500	95	4	7	1048	262	1	03_Neutro	2034
186834	41	11040	79	4	6	804	201	0	Nao_Respondeu	1431
275221	45	15150	76	3	7	912	304	0	03_Neutro	1585
225195	28	1500	58	3	5	462	154	0	01_Muito_Satisfeito	776
204987	36	8130	65	1	6	679	679	0	02_Satisfeito	679
145347	32	1500	48	2	5	562	281	0	02_Satisfeito	503
236651	31	1500	56	2	5	1207	603.5	0	02_Satisfeito	729
198716	36	1500	54	3	5	1451	483.67	0	02_Satisfeito	2652
259120	52	16290	87	6	7	2240	373.33	0	Nao_Respondeu	5360
280162	52	7920	93	5	7	1087	217.4	1	03_Neutro	4128
351659	32	8115	66	2	5	567	283.5	0	02_Satisfeito	604
187172	29	6540	62	2	3	966	483	0	02_Satisfeito	1291
208982	44	1500	86	5	6	1953	390.6	0	Nao_Respondeu	4111
227302	20	9330	77	1	4	245	245	0	02_Satisfeito	0
218806	34	7530	84	4	5	1357	339.25	0	02_Satisfeito	2344
331264	51	1800	88	4	7	1054	263.5	0	03_Neutro	2205
283040	20	1500	64	1	4	537	537	0	02_Satisfeito	0
319346	46	13215	87	6	7	2058	343	0	Nao_Respondeu	5984
321087	45	10425	81	3	5	900	300	0	02_Satisfeito	1826
159213	37	9150	90	4	6	688	172	1	03_Neutro	1401
135071	19	5640	78	2	3	563	281.5	0	Nao_Respondeu	0
275066	22	9270	84	3	4	1106	368.67	0	03_Neutro	1619
140973	25	1500	94	3	4	1115	371.67	1	Nao_Respondeu	2024
218684	25	7530	78	2	4	969	484.5	0	02_Satisfeito	616
310168	28	1500	88	4	5	1327	331.75	0	Nao_Respondeu	2441
205637	25	1500	45	2	4	961	480.5	1	02_Satisfeito	656
257208	52	16695	89	4	7	1081	270.25	0	Nao_Respondeu	3129
136818	56	17940	93	5	8	1188	237.6	1	Nao_Respondeu	3478
165691	38	7545	79	4	4	1579	394.75	0	02_Satisfeito	2603
313222	31	8790	88	4	5	1390	347.5	0	Nao_Respondeu	3071
169296	29	5625	63	4	4	1178	294.5	0	02_Satisfeito	1839
129628	41	16500	71	2	6	788	394	0	03_Neutro	1033
351045	19	8370	78	2	3	606	303	0	Nao_Respondeu	67
346950	37	16275	84	3	8	1571	523.67	0	Nao_Respondeu	3485
254293	66	7875	60	3	9	3276	1092	0	01_Muito_Satisfeito	7863
241444	41	11325	70	3	4	809	269.67	0	02_Satisfeito	1467
351493	23	1500	64	1	4	805	805	0	04_Insatisfeito	849
224620	47	20370	81	5	7	1134	226.8	0	02_Satisfeito	3979
358432	40	1500	36	1	6	1398	1398	0	01_Muito_Satisfeito	906
158748	80	15180	77	4	10	1813	453.25	0	Nao_Respondeu	1980
315662	35	12480	86	2	5	649	324.5	0	Nao_Respondeu	1275
181520	51	17730	83	4	7	1056	264	0	03_Neutro	2233
198422	77	24270	96	6	10	1740	290	1	03_Neutro	6126
297695	58	1500	76	2	8	1245	622.5	0	04_Insatisfeito	1057
317805	31	6180	74	1	5	517	517	0	Nao_Respondeu	355
330722	26	1500	64	1	4	729	729	0	03_Neutro	0
344279	27	1500	68	1	5	950	950	0	Nao_Respondeu	176
129678	23	1500	63	3	4	999	333	0	01_Muito_Satisfeito	852
309040	36	8025	79	3	6	673	224.33	0	03_Neutro	550
198441	83	32775	98	7	11	1882	268.86	1	03_Neutro	9364
304390	59	4020	48	3	4	2136	712	0	02_Satisfeito	874
154182	22	1500	52	1	4	747	747	0	04_Insatisfeito	0
343488	32	10680	87	5	5	1197	239.4	0	Nao_Respondeu	1731
302819	22	9135	80	3	4	1001	333.67	0	02_Satisfeito	1413
148177	61	1500	90	5	8	1316	263.2	1	Nao_Respondeu	3483
199860	40	7485	71	1	5	753	753	0	02_Satisfeito	656
133170	22	1500	92	3	4	1350	450	1	03_Neutro	2441
189303	44	1500	71	3	6	869	289.67	0	02_Satisfeito	1027
163131	32	13695	87	5	5	1224	244.8	0	Nao_Respondeu	2483
320244	21	5190	58	4	3	711	177.75	0	01_Muito_Satisfeito	1196
167390	71	1500	98	7	9	2746	392.29	1	Nao_Respondeu	9620
173042	35	7035	71	2	5	651	325.5	0	Nao_Respondeu	817
225674	56	8580	92	6	8	1177	196.17	1	Nao_Respondeu	4545
164844	57	13665	72	1	7	1220	1220	0	05_Muito_Insatisfeito	0
211819	61	1500	97	5	8	1316	263.2	1	03_Neutro	4356
337454	52	1500	95	5	7	2178	435.6	1	Nao_Respondeu	4382
193473	61	9420	71	2	8	1324	662	1	03_Neutro	1100
318452	33	6180	65	2	6	1130	565	1	02_Satisfeito	1425
180287	34	1500	35	2	4	1630	815	1	01_Muito_Satisfeito	1705
305950	53	11370	72	2	7	1112	556	0	02_Satisfeito	1019
335515	33	4650	60	5	3	1491	298.2	0	02_Satisfeito	3908
192483	31	5985	57	2	5	531	265.5	0	01_Muito_Satisfeito	628
146985	28	3780	56	1	4	821	821	0	Nao_Respondeu	48
166138	31	13365	86	2	5	1245	622.5	0	03_Neutro	2223
256147	37	17700	66	2	6	1097	548.5	0	02_Satisfeito	886
329570	34	12870	84	4	5	1604	401	0	Nao_Respondeu	2176
132804	56	1500	30	4	4	2173	543.25	0	01_Muito_Satisfeito	1463
307626	43	1500	77	3	6	2163	721	0	Nao_Respondeu	2229
142356	19	1500	41	1	3	575	575	0	02_Satisfeito	0
174273	26	1500	54	1	4	403	403	0	04_Insatisfeito	0
278200	53	17070	89	5	7	1115	223	0	Nao_Respondeu	3654
349493	24	2040	85	4	4	1146	286.5	0	Nao_Respondeu	2081
335354	47	1500	93	4	7	954	238.5	1	03_Neutro	2739
286116	81	29700	78	5	11	1827	365.4	0	02_Satisfeito	3587
283098	30	1500	60	1	5	953	953	0	04_Insatisfeito	355
279711	38	9735	86	2	6	700	350	0	03_Neutro	1172
156712	56	7950	84	3	8	1189	396.33	0	Nao_Respondeu	1964
191104	28	4620	35	3	4	1028	342.67	0	02_Satisfeito	979
188045	38	6825	84	4	4	1816	454	0	03_Neutro	3109
187148	49	10635	73	3	7	1008	336	0	03_Neutro	1455
264164	20	1500	82	2	4	878	439	0	03_Neutro	683
282755	51	15690	90	4	7	1043	260.75	1	Nao_Respondeu	2733
267925	26	4230	86	3	4	1084	361.33	0	02_Satisfeito	1907
341288	48	8970	80	2	7	2226	1113	0	Nao_Respondeu	2234
336016	30	4200	75	2	5	498	249	0	Nao_Respondeu	607
210485	59	23700	97	6	8	1254	209	1	Nao_Respondeu	7298
215013	35	15795	73	2	5	637	318.5	0	03_Neutro	583
340500	49	14295	76	3	7	989	329.67	0	03_Neutro	1447
165043	22	1500	60	1	3	717	717	0	05_Muito_Insatisfeito	0
209109	23	1500	92	3	4	1075	358.33	1	Nao_Respondeu	1803
299840	51	17295	71	2	6	1052	526	0	02_Satisfeito	2102
165553	27	1500	68	1	1	438	438	1	02_Satisfeito	165
327257	36	16020	78	3	5	666	222	1	02_Satisfeito	1158
180912	47	6000	70	2	6	958	479	0	04_Insatisfeito	729
278657	36	8910	74	3	5	645	215	0	03_Neutro	1502
176950	60	1500	94	5	8	1271	254.2	1	Nao_Respondeu	3485
261813	46	7200	85	6	7	2105	350.83	0	03_Neutro	5514
260781	37	1500	55	1	6	1283	1283	0	Nao_Respondeu	149
350135	29	1500	68	1	5	495	495	0	02_Satisfeito	57
242842	25	1500	59	2	4	801	400.5	0	02_Satisfeito	449
295312	24	1500	63	1	4	361	361	0	02_Satisfeito	0
352851	71	4380	60	6	4	3050	508.33	0	01_Muito_Satisfeito	7017
162333	43	6600	71	2	6	853	426.5	0	02_Satisfeito	1329
193589	52	20550	72	3	7	1087	362.33	0	03_Neutro	1421
223733	28	10245	78	4	4	1286	321.5	0	02_Satisfeito	1729
175228	51	1860	90	4	7	1046	261.5	1	Nao_Respondeu	2147
140902	46	15390	83	5	7	940	188	0	Nao_Respondeu	2786
302133	44	10995	74	2	6	867	433.5	0	01_Muito_Satisfeito	1975
141053	33	10995	44	2	5	1544	772	0	Nao_Respondeu	68
187599	74	13740	85	6	10	2854	475.67	0	Nao_Respondeu	7741
318424	43	15975	83	5	6	2119	423.8	0	03_Neutro	5859
276848	40	12420	84	5	6	1897	379.4	0	Nao_Respondeu	4183
311758	24	10560	85	4	4	1047	261.75	0	Nao_Respondeu	1853
289145	31	5880	66	1	5	539	539	0	Nao_Respondeu	288
345113	34	11790	85	2	5	598	299	0	Nao_Respondeu	1107
334006	25	8775	63	1	4	901	901	0	02_Satisfeito	188
166619	55	10680	73	2	9	1178	589	0	03_Neutro	2032
184016	60	1500	94	5	8	1290	258	1	Nao_Respondeu	3274
157443	44	1500	85	4	6	853	213.25	0	Nao_Respondeu	1883
160870	57	19200	85	5	8	1220	244	0	03_Neutro	3390
177730	21	6720	62	1	4	529	529	0	04_Insatisfeito	0
348848	19	7305	77	2	3	601	300.5	0	03_Neutro	0
328031	43	1500	93	4	6	846	211.5	1	Nao_Respondeu	2334
131207	35	9585	79	3	5	643	214.33	0	03_Neutro	1726
355418	30	9780	67	1	5	506	506	0	03_Neutro	232
331381	53	1860	88	4	7	1092	273	0	Nao_Respondeu	2503
161154	35	1500	49	1	5	628	628	0	05_Muito_Insatisfeito	0
228871	28	1500	89	4	5	1592	398	0	03_Neutro	2806
192420	35	1500	65	1	1	650	650	0	04_Insatisfeito	0
237131	51	8730	84	6	7	2427	404.5	0	Nao_Respondeu	5036
262272	75	7875	71	5	3	1683	336.6	1	02_Satisfeito	3530
259047	51	11955	70	3	7	1746	582	1	02_Satisfeito	4413
190005	51	9960	74	3	6	1047	349	0	02_Satisfeito	1432
209113	22	6240	58	2	4	960	480	1	02_Satisfeito	589
342517	57	19170	92	5	8	1229	245.8	1	Nao_Respondeu	3622
323216	24	5640	46	2	4	1007	503.5	0	02_Satisfeito	373
239677	37	3480	73	1	6	696	696	0	02_Satisfeito	225
224616	24	3240	51	3	4	1068	356	0	01_Muito_Satisfeito	778
265510	33	11115	74	2	4	578	289	0	Nao_Respondeu	477
161273	34	5850	62	1	5	613	613	0	02_Satisfeito	178
194475	29	13125	76	2	5	482	241	0	Nao_Respondeu	913
190954	49	12285	86	5	7	2009	401.8	0	Nao_Respondeu	5384
131393	35	3750	68	1	6	1143	1143	0	04_Insatisfeito	349
285054	37	12510	78	2	6	680	340	1	02_Satisfeito	1231
187526	42	1500	76	4	3	1531	382.75	0	02_Satisfeito	1734
304118	29	3720	66	1	4	488	488	0	02_Satisfeito	377
147935	43	1500	45	4	6	1706	426.5	1	02_Satisfeito	1355
186254	46	15540	99	5	7	925	185	1	03_Neutro	3214
295054	34	5205	78	3	4	1405	468.33	0	03_Neutro	1609
239032	33	7920	62	2	4	912	456	0	02_Satisfeito	1484
225323	39	12720	71	2	6	755	377.5	0	02_Satisfeito	1057
166990	28	10890	63	2	4	913	456.5	0	02_Satisfeito	530
154856	70	21060	96	7	10	2274	324.86	1	Nao_Respondeu	9793
252236	19	1500	92	4	3	1062	265.5	1	03_Neutro	1683
215499	64	18405	69	2	8	1411	705.5	0	Nao_Respondeu	1708
275026	26	1500	43	1	4	397	397	0	02_Satisfeito	0
286001	54	1500	95	5	8	1128	225.6	1	03_Neutro	3383
210042	29	1800	78	1	5	482	482	0	04_Insatisfeito	0
210493	49	1500	93	4	6	1010	252.5	1	Nao_Respondeu	2334
167613	22	5820	79	3	4	1009	336.33	0	02_Satisfeito	1487
150492	38	1500	93	3	6	718	239.33	1	Nao_Respondeu	1130
163461	46	5250	88	5	6	923	184.6	0	03_Neutro	1994
271944	35	9480	80	2	5	653	326.5	1	02_Satisfeito	1239
326115	25	5250	87	4	2	1035	258.75	0	Nao_Respondeu	1983
343496	31	1500	58	1	3	520	520	0	02_Satisfeito	0
339183	29	1500	47	2	5	923	461.5	0	02_Satisfeito	478
173088	71	1500	83	4	9	1569	392.25	0	Nao_Respondeu	1752
257081	18	1500	54	2	3	698	349	0	Nao_Respondeu	0
300157	52	6615	87	5	7	1079	215.8	0	Nao_Respondeu	3487
312268	44	12405	83	5	6	2116	423.2	0	Nao_Respondeu	4980
208797	46	1500	40	3	5	1959	653	0	01_Muito_Satisfeito	3483
191773	48	1500	80	4	6	979	244.75	0	03_Neutro	1283
293811	45	10530	75	2	4	885	442.5	0	02_Satisfeito	1855
223723	47	8355	70	2	5	950	475	0	Nao_Respondeu	1084
281958	29	9150	76	2	5	489	244.5	0	02_Satisfeito	727
325965	25	7800	87	3	4	1116	372	0	Nao_Respondeu	1691
150014	29	5100	78	1	5	466	466	1	02_Satisfeito	724
185990	37	1500	91	5	6	1569	313.8	1	03_Neutro	3778
316340	43	10980	72	2	6	864	432	0	02_Satisfeito	1269
252445	20	1500	77	1	4	912	912	0	Nao_Respondeu	278
226790	18	3300	60	1	2	507	507	0	02_Satisfeito	0
195473	41	6165	72	2	5	789	394.5	0	Nao_Respondeu	987
144016	48	16230	78	3	6	995	331.67	1	02_Satisfeito	2416
197811	30	12735	54	1	5	500	500	0	02_Satisfeito	0
263369	59	23640	96	5	8	1249	249.8	1	03_Neutro	3230
216834	36	13335	95	6	5	1684	280.67	1	03_Neutro	5984
280795	53	1740	91	4	7	1119	279.75	1	Nao_Respondeu	2820
247250	22	1500	46	1	4	830	830	0	04_Insatisfeito	99
291313	61	20070	87	7	8	1313	187.57	0	Nao_Respondeu	5703
178965	22	3450	33	2	4	780	390	1	01_Muito_Satisfeito	853
241783	34	12825	85	2	5	595	297.5	0	02_Satisfeito	1053
300546	52	8160	73	2	3	1068	534	0	02_Satisfeito	1853
350142	38	1500	91	6	6	1822	303.67	1	Nao_Respondeu	4987
333226	57	1500	93	5	8	1212	242.4	1	Nao_Respondeu	3875
174769	32	10620	83	4	5	1484	371	0	03_Neutro	2661
265390	35	4845	60	5	5	1673	334.6	0	02_Satisfeito	3729
140915	56	18330	92	6	8	1210	201.67	1	Nao_Respondeu	4855
339508	24	12480	76	2	4	1077	538.5	0	02_Satisfeito	1005
284769	64	2700	94	6	9	1388	231.33	1	Nao_Respondeu	4574
320812	22	1500	91	3	4	1168	389.33	1	Nao_Respondeu	1834
203176	29	1500	90	4	5	1334	333.5	1	Nao_Respondeu	2229
213686	26	9840	79	3	4	1151	383.67	0	02_Satisfeito	1359
247411	50	14190	87	4	7	1038	259.5	0	Nao_Respondeu	2304
228773	50	11700	81	2	7	1036	518	0	02_Satisfeito	2328
191781	33	10515	84	5	5	1375	275	1	01_Muito_Satisfeito	3352
356140	44	1500	57	5	7	1682	336.4	0	01_Muito_Satisfeito	3328
215785	38	9420	79	2	5	700	350	0	02_Satisfeito	606
351843	40	2220	34	1	4	1460	1460	0	03_Neutro	0
148440	35	1500	50	2	2	1015	507.5	0	02_Satisfeito	0
274413	31	14130	75	2	5	516	258	0	03_Neutro	601
222494	58	10800	70	3	6	1239	413	0	02_Satisfeito	957
182545	49	1500	97	5	7	1017	203.4	1	03_Neutro	3231
130912	25	6000	64	3	4	1032	344	0	02_Satisfeito	973
218033	45	20370	83	3	7	905	301.67	0	Nao_Respondeu	1978
217345	24	1500	51	2	4	965	482.5	0	01_Muito_Satisfeito	677
186130	23	1500	92	4	4	1076	269	1	03_Neutro	1379
143146	38	1500	81	2	1	1846	923	0	Nao_Respondeu	1174
299756	44	1860	90	5	6	885	177	1	03_Neutro	2283
155341	37	9705	91	3	3	679	226.33	1	03_Neutro	1037
333354	35	1500	57	1	5	647	647	0	02_Satisfeito	348
265665	37	13440	86	4	6	1558	389.5	0	03_Neutro	3154
237146	43	1500	66	2	1	834	417	0	Nao_Respondeu	1312
160874	20	9795	77	1	4	233	233	0	02_Satisfeito	0
166298	35	2520	74	2	5	636	318	0	01_Muito_Satisfeito	1601
279343	33	1500	54	1	5	1015	1015	0	04_Insatisfeito	0
284604	35	12180	74	2	5	635	317.5	0	02_Satisfeito	498
320707	58	2445	93	5	8	1239	247.8	1	03_Neutro	3855
219611	48	11250	66	2	5	977	488.5	0	02_Satisfeito	1598
179334	32	1500	88	3	5	1275	425	0	03_Neutro	1794
134530	24	1500	42	1	4	982	982	0	02_Satisfeito	615
341092	48	1860	93	5	7	971	194.2	1	Nao_Respondeu	2603
172988	37	1500	36	3	5	1627	542.33	0	02_Satisfeito	1475
200061	39	12000	83	4	4	1857	464.25	0	03_Neutro	3104
156015	60	11340	86	5	8	1291	258.2	0	Nao_Respondeu	3683
220299	21	8070	81	3	4	994	331.33	0	Nao_Respondeu	1448
248993	26	11280	89	4	4	1108	277	0	03_Neutro	2276
154007	36	8400	83	4	6	663	165.75	0	02_Satisfeito	1533
297524	46	11445	79	3	5	928	309.33	0	02_Satisfeito	2008
136092	49	1500	89	4	7	1009	252.25	0	Nao_Respondeu	1778
292795	65	1500	96	6	9	1418	236.33	1	Nao_Respondeu	3462
351730	20	1500	94	4	4	964	241	1	Nao_Respondeu	1920
262419	38	9330	80	3	6	719	239.67	0	02_Satisfeito	1754
180190	34	12330	85	2	5	604	302	0	02_Satisfeito	1350
155147	31	13395	68	1	5	540	540	0	03_Neutro	396
219100	73	19980	98	7	10	1627	232.43	1	Nao_Respondeu	7587
144140	29	1500	87	4	5	1258	314.5	0	Nao_Respondeu	2128
130641	43	11280	81	5	6	842	168.4	0	03_Neutro	1732
322679	43	17085	91	5	6	860	172	1	Nao_Respondeu	2406
171841	36	12750	84	5	5	1562	312.4	0	03_Neutro	3387
222592	20	1500	77	2	3	708	354	0	Nao_Respondeu	0
177128	30	5010	66	2	5	501	250.5	0	02_Satisfeito	849
156757	27	3060	73	1	4	427	427	0	Nao_Respondeu	225
141297	20	8700	62	1	3	149	149	0	Nao_Respondeu	0
250227	59	22290	71	3	8	1258	419.33	0	02_Satisfeito	2485
132009	28	7725	67	1	5	440	440	0	02_Satisfeito	402
233745	23	28680	97	7	12	2152	307.43	1	03_Neutro	9464
350743	24	1500	55	1	4	764	764	0	01_Muito_Satisfeito	331
322927	24	1500	60	1	2	331	331	0	02_Satisfeito	0
137289	19	6870	77	2	3	588	294	0	05_Muito_Insatisfeito	0
336306	46	14715	91	3	7	913	304.33	1	03_Neutro	2090
247882	42	8160	67	3	5	1470	490	0	04_Insatisfeito	902
208083	50	1500	90	4	7	1018	254.5	1	Nao_Respondeu	1946
333520	30	11220	86	3	4	1388	462.67	0	03_Neutro	2601
201839	47	14190	93	5	7	951	190.2	1	03_Neutro	3340
301935	48	8430	82	3	4	1837	612.33	1	01_Muito_Satisfeito	2579
278059	47	15045	81	3	6	971	323.67	0	Nao_Respondeu	2289
246065	32	5775	60	1	5	568	568	0	02_Satisfeito	141
198144	47	15225	87	5	7	950	190	0	03_Neutro	3651
222821	41	17760	78	2	6	788	394	0	02_Satisfeito	1407
180507	31	1740	86	3	5	537	179	0	Nao_Respondeu	980
356702	29	7815	61	2	4	1163	581.5	0	02_Satisfeito	1232
252546	34	1500	73	3	5	610	203.33	0	02_Satisfeito	850
334388	39	1500	82	3	3	1472	490.67	0	02_Satisfeito	1929
299770	36	13590	71	2	6	659	329.5	1	02_Satisfeito	1120
314595	31	1500	88	4	5	1384	346	0	03_Neutro	2294
181433	35	2775	67	3	5	656	218.67	0	02_Satisfeito	878
131361	28	1500	69	1	1	454	454	0	05_Muito_Insatisfeito	0
148068	19	7020	62	2	3	521	260.5	0	03_Neutro	0
359417	28	11430	90	3	5	456	152	1	Nao_Respondeu	1087
248165	52	16470	78	2	7	1102	551	0	02_Satisfeito	1853
330559	34	8925	85	2	5	600	300	0	Nao_Respondeu	628
313906	25	1500	39	3	4	1073	357.67	0	02_Satisfeito	858
300629	33	1500	53	1	5	966	966	0	Nao_Respondeu	0
146668	33	6000	88	5	5	1859	371.8	0	03_Neutro	3385
242672	25	10005	89	4	4	1238	309.5	1	Nao_Respondeu	1804
299043	54	13035	92	5	8	1142	228.4	1	Nao_Respondeu	3986
204942	32	8130	79	3	5	1484	494.67	0	02_Satisfeito	2109
332266	31	4305	75	2	4	520	260	0	Nao_Respondeu	700
194064	52	1500	93	4	7	1102	275.5	1	03_Neutro	2009
198683	39	11265	73	2	6	721	360.5	0	02_Satisfeito	949
168688	31	1500	64	2	5	1059	529.5	0	Nao_Respondeu	0
249367	60	10875	82	3	8	1303	434.33	0	02_Satisfeito	2671
253837	40	8610	54	4	6	1673	418.25	1	02_Satisfeito	2719
220081	21	7065	76	3	4	971	323.67	0	02_Satisfeito	1431
279458	57	1500	84	4	8	1204	301	0	02_Satisfeito	2194
167965	38	14250	82	3	5	703	234.33	0	02_Satisfeito	1703
261129	34	13260	73	2	5	600	300	0	Nao_Respondeu	840
269406	50	1500	90	2	7	1043	521.5	1	03_Neutro	1813
319637	56	16740	89	7	8	2282	326	1	Nao_Respondeu	7806
259489	44	15075	93	3	6	880	293.33	1	03_Neutro	2107
280212	53	16650	76	2	8	1122	561	0	02_Satisfeito	1951
185819	36	12465	67	1	6	662	662	1	02_Satisfeito	198
327920	55	5955	59	6	5	2339	389.83	0	01_Muito_Satisfeito	5356
276927	28	1500	86	4	3	1296	324	0	Nao_Respondeu	2482
270877	19	1500	57	1	3	139	139	0	02_Satisfeito	0
212668	48	1500	87	4	7	960	240	0	Nao_Respondeu	2583
146907	26	7500	75	3	4	1237	412.33	0	01_Muito_Satisfeito	1809
280492	43	9900	85	5	6	851	170.2	0	Nao_Respondeu	2920
149851	29	1500	86	4	5	1398	349.5	0	03_Neutro	2425
